DATAFLOW,LAST UPDATE,freq,emp_cont,yes_no,lev_satis,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,ES,2021,956.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,EU27_2020,2021,4257.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,FI,2021,56.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,FR,2021,704.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,HR,2021,32.8,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,HU,2021,29.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,IE,2021,45.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,IT,2021,723.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,LT,2021,4.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,LU,2021,3.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,LV,2021,6.6,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,MT,2021,3.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,NL,2021,334.9,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,NO,2021,33.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,PL,2021,223.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,PT,2021,51.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,RO,2021,43,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,SE,2021,101.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,SI,2021,25.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,M,THS_PER,SK,2021,14.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,AT,2021,179,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,BE,2021,202.4,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,BG,2021,10.4,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,CH,2021,317.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,CY,2021,31.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,CZ,2021,99.1,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,DE,2021,1094.2,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,DK,2021,142.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,EA20,2021,7889,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,EE,2021,4.5,u,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,EL,2021,100.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,ES,2021,2029,,
